Incident_ID,Date,Attack_Type,Severity,Department,Region,Affected_Systems,Financial_Loss_USD,Status,Reported_By
INC-0032,2025-02-09,SQL Injection,Low,Customer Support,Asia Pacific,1,1042.16,Closed - No Action,Wei Zhang
INC-0033,2025-09-28,Ransomware,Critical,IT,Middle East,23,175472.15,Resolved,Neha Verma
INC-0034,2024-09-07,DDoS,Medium,Customer Support,Middle East,9,7505.1,In Progress,Pratik Chandra
INC-0035,2025-11-14,SQL Injection,High,IT,Europe,36,80059.31,Resolved,Arjun Mehta
INC-0036,2024-10-05,Malware,Low,Legal,Europe,9,967.62,In Progress,Wei Zhang
INC-0037,2024-09-14,Phishing,Critical,IT,Latin America,22,95871.23,Escalated,Arjun Mehta
INC-0038,2025-10-14,DDoS,Critical,Customer Support,Middle East,8,281926.47,In Progress,Neha Verma
INC-0039,2025-12-08,Credential Stuffing,Critical,Finance,Asia Pacific,9,133313.76,In Progress,Pratik Chandra
INC-0040,2024-11-11,Phishing,Medium,Legal,Europe,6,8002.4,In Progress,Tom Becker
INC-0041,2025-09-27,Malware,High,HR,Europe,22,17784.62,Escalated,Tom Becker
INC-0042,2025-11-16,Malware,High,Operations,Europe,3,23782.89,Escalated,Wei Zhang
INC-0043,2024-08-15,Zero-Day Exploit,Low,Legal,Asia Pacific,4,984.19,Escalated,Pratik Chandra
INC-0044,2025-11-06,Insider Threat,Low,Operations,North America,9,451.21,Closed - No Action,Tom Becker
INC-0045,2025-11-26,Credential Stuffing,Critical,Legal,North America,12,429344.22,Resolved,Liam O'Connor
INC-0046,2024-02-09,Man-in-the-Middle,Low,Legal,Asia Pacific,2,1085.81,Resolved,Tom Becker
INC-0047,2025-08-13,Phishing,Low,R&D,North America,4,925.86,Resolved,Priya Nair
INC-0048,2025-03-17,Insider Threat,Low,Legal,North America,5,470.29,In Progress,Tom Becker
INC-0049,2024-11-30,SQL Injection,Medium,HR,Europe,3,10463.27,Resolved,Liam O'Connor
INC-0050,2025-02-19,Phishing,Medium,Operations,Asia Pacific,10,9071.83,Resolved,Priya Nair
INC-0051,2025-04-21,Malware,Medium,Customer Support,Europe,10,4554.08,In Progress,Priya Nair
INC-0052,2024-04-05,Malware,High,Operations,Europe,3,26609.49,Escalated,Sara Fernandez
INC-0053,2025-05-01,Ransomware,Medium,Customer Support,Latin America,7,7181.04,Escalated,Wei Zhang
INC-0054,2025-02-13,Phishing,Low,IT,Latin America,9,923.7,Resolved,Wei Zhang
INC-0055,2024-02-21,Ransomware,Medium,Customer Support,Europe,9,8008.2,Escalated,Priya Nair
INC-0056,2025-03-29,Credential Stuffing,Medium,R&D,Middle East,8,3432.42,Resolved,Wei Zhang
INC-0057,2024-09-22,SQL Injection,High,Customer Support,Europe,19,21578.8,Resolved,Sara Fernandez
INC-0058,2024-10-05,Credential Stuffing,Low,IT,Europe,3,544.73,Resolved,Sara Fernandez
INC-0059,2024-03-06,Insider Threat,Medium,Customer Support,Latin America,7,9496.02,Resolved,Pratik Chandra
INC-0060,2025-08-12,Phishing,Medium,Legal,Asia Pacific,7,9681.03,Escalated,Sara Fernandez
INC-0061,2025-05-14,Man-in-the-Middle,Low,Customer Support,North America,7,801.99,Resolved,Arjun Mehta
INC-0062,2025-04-23,Social Engineering,Critical,Finance,Latin America,6,318679.91,In Progress,Tom Becker
INC-0063,2024-05-18,DDoS,High,Finance,Asia Pacific,21,31239.54,Resolved,Priya Nair
INC-0064,2025-01-23,Man-in-the-Middle,Low,Operations,North America,1,874.12,Resolved,Priya Nair
INC-0065,2024-08-17,Phishing,High,Finance,Europe,10,17467.36,Resolved,Sara Fernandez
INC-0066,2024-05-09,Ransomware,Medium,Sales,Latin America,3,8902.08,In Progress,Neha Verma
INC-0067,2024-06-16,Ransomware,Critical,Finance,Asia Pacific,25,406889.41,In Progress,Tom Becker
INC-0068,2024-07-22,Malware,Low,IT,Asia Pacific,2,740.37,Escalated,Pratik Chandra
INC-0069,2024-12-21,Insider Threat,Medium,IT,Middle East,7,2113.87,In Progress,Wei Zhang
INC-0070,2024-04-18,Insider Threat,Medium,Customer Support,Europe,5,8604.16,Resolved,Wei Zhang
INC-0071,2025-04-21,Social Engineering,Medium,Operations,Asia Pacific,2,9476.58,Escalated,Liam O'Connor
INC-0072,2025-04-06,Zero-Day Exploit,Low,R&D,Asia Pacific,3,965.86,Resolved,Wei Zhang
INC-0073,2024-08-05,SQL Injection,Medium,Legal,Asia Pacific,5,8310.65,Escalated,Pratik Chandra
INC-0074,2025-06-13,Ransomware,Critical,Sales,Latin America,45,352939.28,Resolved,Wei Zhang
INC-0075,2025-10-23,Zero-Day Exploit,High,Finance,North America,16,45116.88,Resolved,Liam O'Connor
INC-0076,2025-11-10,Zero-Day Exploit,Medium,Legal,Latin America,6,6953.5,Closed - No Action,Wei Zhang
INC-0077,2024-10-04,Malware,Low,IT,Europe,3,868.59,Resolved,Sara Fernandez
INC-0078,2024-08-09,SQL Injection,High,Operations,North America,24,37329.75,Escalated,Arjun Mehta
INC-0079,2024-11-05,Credential Stuffing,Low,HR,Asia Pacific,5,249.07,Resolved,Arjun Mehta
INC-0080,2025-10-15,Zero-Day Exploit,High,IT,North America,29,49796.58,In Progress,Priya Nair
INC-0081,2024-07-07,SQL Injection,Critical,Customer Support,North America,5,224254.68,Escalated,Pratik Chandra
INC-0082,2024-06-04,Social Engineering,Low,Operations,North America,7,306.61,Closed - No Action,Sara Fernandez
INC-0083,2025-06-19,Zero-Day Exploit,Medium,Operations,Middle East,10,4748.42,Closed - No Action,Pratik Chandra
INC-0084,2025-09-16,Ransomware,Critical,Sales,Europe,16,109227.49,Resolved,Arjun Mehta
INC-0085,2025-07-19,Phishing,Low,R&D,Latin America,1,622.92,In Progress,Sara Fernandez
INC-0086,2024-10-22,Zero-Day Exploit,High,IT,Europe,41,72723.62,Closed - No Action,Sara Fernandez
INC-0087,2025-03-11,Malware,Low,HR,Asia Pacific,3,264.27,Escalated,Liam O'Connor
INC-0088,2025-09-01,Social Engineering,High,Operations,Latin America,45,65584.82,Resolved,Tom Becker
INC-0089,2024-10-05,Zero-Day Exploit,Medium,Customer Support,North America,6,10004.81,In Progress,Liam O'Connor
INC-0090,2024-01-27,Social Engineering,Low,Finance,Asia Pacific,3,886.8,In Progress,Wei Zhang
INC-0091,2025-06-15,SQL Injection,High,HR,Middle East,6,74625.64,Resolved,Wei Zhang
INC-0092,2024-12-22,Insider Threat,Medium,IT,Europe,5,8243.06,Resolved,Tom Becker
INC-0093,2025-07-17,Ransomware,Low,Legal,Asia Pacific,7,1073.17,Resolved,Pratik Chandra
INC-0094,2025-11-04,Zero-Day Exploit,High,R&D,North America,32,42048.11,Resolved,Wei Zhang
INC-0095,2024-02-22,Credential Stuffing,Low,HR,Asia Pacific,2,828.43,Resolved,Pratik Chandra
INC-0096,2025-10-07,Malware,Medium,HR,Asia Pacific,2,6970.26,In Progress,Sara Fernandez
INC-0097,2024-04-26,Ransomware,Medium,HR,Latin America,5,4626.75,Closed - No Action,Tom Becker
INC-0098,2025-05-09,Malware,Critical,Customer Support,Middle East,39,148619.73,Resolved,Arjun Mehta
INC-0099,2024-03-12,Man-in-the-Middle,Low,Legal,Middle East,5,202.31,Resolved,Wei Zhang
INC-0100,2024-06-01,Zero-Day Exploit,Medium,Legal,Asia Pacific,8,6890.87,In Progress,Priya Nair
INC-0101,2024-07-12,Malware,Critical,R&D,Europe,21,227879.03,Escalated,Wei Zhang
INC-0102,2025-12-23,Man-in-the-Middle,Critical,R&D,Europe,33,93327.06,Resolved,Priya Nair
INC-0103,2024-04-12,Zero-Day Exploit,Critical,IT,Middle East,10,85525.14,Closed - No Action,Tom Becker
INC-0104,2025-11-01,Ransomware,Critical,Customer Support,Asia Pacific,42,329373.66,Resolved,Neha Verma
INC-0105,2024-12-02,Credential Stuffing,High,R&D,Asia Pacific,32,79895.59,In Progress,Pratik Chandra
INC-0106,2025-09-24,SQL Injection,Low,Sales,North America,2,288.6,Resolved,Wei Zhang
INC-0107,2024-06-19,Phishing,High,Finance,Asia Pacific,24,37122.48,Escalated,Tom Becker
INC-0108,2024-05-29,Man-in-the-Middle,Low,HR,Europe,7,748.54,Resolved,Sara Fernandez
INC-0109,2025-05-24,DDoS,Critical,Sales,Latin America,43,245445.38,In Progress,Pratik Chandra
INC-0110,2025-04-21,Credential Stuffing,Critical,HR,North America,38,204403.62,Resolved,Liam O'Connor
INC-0111,2025-10-16,SQL Injection,Critical,Customer Support,Asia Pacific,31,218489.57,Resolved,Neha Verma
INC-0112,2024-08-30,Insider Threat,Medium,Operations,Asia Pacific,7,9470.34,Resolved,Liam O'Connor
INC-0113,2024-01-09,Phishing,Medium,Customer Support,Asia Pacific,6,4071.07,Escalated,Sara Fernandez
INC-0114,2025-10-13,SQL Injection,Low,HR,North America,5,781.71,Closed - No Action,Wei Zhang
INC-0115,2024-02-04,DDoS,Medium,IT,Asia Pacific,4,5739.53,Resolved,Arjun Mehta
INC-0116,2025-07-06,Insider Threat,Critical,Operations,Europe,31,376888.33,Resolved,Liam O'Connor
INC-0117,2024-12-12,Zero-Day Exploit,High,IT,Europe,44,32244.26,Escalated,Tom Becker
INC-0118,2025-07-24,Man-in-the-Middle,Medium,Finance,Asia Pacific,5,6093.07,Resolved,Tom Becker
INC-0119,2025-10-15,Ransomware,Critical,Sales,Latin America,36,398324.54,Resolved,Priya Nair
INC-0120,2025-09-16,Ransomware,Low,Customer Support,Asia Pacific,1,305.01,In Progress,Pratik Chandra
INC-0121,2024-11-07,Ransomware,Critical,IT,Europe,30,128839.06,Escalated,Priya Nair
INC-0122,2025-11-17,Credential Stuffing,Critical,R&D,Middle East,27,135628.24,In Progress,Neha Verma
INC-0123,2025-05-16,SQL Injection,Medium,Finance,Asia Pacific,4,6002.26,Resolved,Priya Nair
INC-0124,2024-04-11,Insider Threat,Critical,Legal,North America,8,148331.08,Resolved,Wei Zhang
INC-0125,2024-04-03,Social Engineering,High,Finance,North America,9,33536.96,Escalated,Sara Fernandez
INC-0126,2024-03-11,Credential Stuffing,High,Sales,Middle East,22,78618.07,Resolved,Arjun Mehta
INC-0127,2025-09-02,DDoS,Low,HR,Middle East,1,357.05,Resolved,Arjun Mehta
INC-0128,2024-01-16,Malware,Medium,Legal,North America,7,2471.59,Resolved,Neha Verma
INC-0129,2024-03-06,Insider Threat,Medium,IT,Latin America,1,10508.74,Resolved,Liam O'Connor
INC-0130,2025-04-14,Phishing,Medium,Finance,Latin America,2,5836.46,Escalated,Wei Zhang
INC-0131,2025-12-30,Ransomware,Critical,IT,Asia Pacific,18,103645.6,In Progress,Priya Nair
INC-0132,2025-01-25,Credential Stuffing,Critical,Operations,Latin America,45,234871.76,Resolved,Neha Verma
INC-0133,2025-11-01,Credential Stuffing,High,Sales,Latin America,22,32451.54,Resolved,Wei Zhang
INC-0134,2025-02-12,Ransomware,Medium,Legal,Latin America,3,4294.01,Resolved,Wei Zhang
INC-0135,2024-03-09,Ransomware,Low,IT,Latin America,3,864.92,Resolved,Pratik Chandra
INC-0136,2025-08-23,Credential Stuffing,Critical,Legal,North America,28,394498.65,Resolved,Pratik Chandra
INC-0137,2024-10-21,Insider Threat,Medium,IT,Middle East,8,3392.57,Resolved,Sara Fernandez
INC-0138,2024-04-20,Credential Stuffing,Medium,Legal,North America,7,7166.9,Escalated,Pratik Chandra
INC-0139,2025-09-15,SQL Injection,Critical,Finance,Europe,22,354467.43,Resolved,Priya Nair
INC-0140,2024-01-07,DDoS,Low,R&D,North America,1,769.85,Resolved,Neha Verma
INC-0141,2025-06-27,Man-in-the-Middle,Low,Customer Support,Asia Pacific,6,480.47,Resolved,Neha Verma
INC-0142,2024-02-23,Social Engineering,Low,Finance,North America,8,795.74,Resolved,Wei Zhang
INC-0143,2025-02-28,Credential Stuffing,Low,IT,Asia Pacific,10,454.92,Resolved,Wei Zhang
INC-0144,2025-06-23,Phishing,High,Sales,Latin America,14,19944.3,Closed - No Action,Liam O'Connor
INC-0145,2024-08-04,SQL Injection,High,Operations,Asia Pacific,28,51811.74,Resolved,Arjun Mehta
INC-0146,2024-05-12,Malware,Medium,Legal,North America,7,8678.37,Resolved,Pratik Chandra
INC-0147,2025-04-15,Insider Threat,Critical,R&D,Middle East,19,310451.0,Resolved,Neha Verma
INC-0148,2025-02-18,Insider Threat,Low,HR,Middle East,6,820.65,Resolved,Neha Verma
INC-0149,2025-03-23,Malware,High,R&D,Middle East,20,21662.59,Resolved,Priya Nair
INC-0150,2024-08-14,DDoS,Low,IT,Middle East,4,677.54,In Progress,Priya Nair
INC-0151,2024-12-25,DDoS,High,Sales,North America,39,30203.57,Resolved,Arjun Mehta
INC-0152,2025-11-02,Zero-Day Exploit,Low,Customer Support,Middle East,10,604.01,Escalated,Priya Nair
INC-0153,2025-10-04,Zero-Day Exploit,Low,IT,Latin America,5,472.54,Resolved,Pratik Chandra
INC-0154,2024-12-26,SQL Injection,Medium,Customer Support,Latin America,5,5318.64,Resolved,Neha Verma
INC-0155,2025-10-22,Ransomware,High,R&D,Latin America,3,84704.67,In Progress,Wei Zhang
INC-0156,2025-08-08,Insider Threat,High,Customer Support,Middle East,7,20454.91,Resolved,Priya Nair
INC-0157,2024-03-27,DDoS,Medium,Finance,Europe,9,10918.87,In Progress,Arjun Mehta
INC-0158,2025-01-07,SQL Injection,Medium,R&D,Latin America,1,8110.08,Escalated,Priya Nair
INC-0159,2024-03-08,Credential Stuffing,Low,R&D,Asia Pacific,10,966.41,Resolved,Arjun Mehta
INC-0160,2024-12-07,DDoS,Low,Legal,Asia Pacific,7,828.63,Closed - No Action,Arjun Mehta
INC-0161,2025-09-01,Ransomware,High,Operations,Middle East,9,72999.66,Resolved,Neha Verma
INC-0162,2025-10-23,Credential Stuffing,High,Legal,North America,14,28978.93,Resolved,Priya Nair
INC-0163,2025-05-12,DDoS,Low,HR,North America,9,909.31,Resolved,Pratik Chandra
INC-0164,2025-11-08,Social Engineering,Low,HR,Middle East,10,346.02,Resolved,Arjun Mehta
INC-0165,2025-03-24,Insider Threat,Low,Sales,Latin America,8,877.15,In Progress,Sara Fernandez
INC-0166,2025-06-30,Zero-Day Exploit,Low,Sales,Asia Pacific,8,713.38,In Progress,Wei Zhang
INC-0167,2024-10-15,Credential Stuffing,High,R&D,Europe,9,73690.66,Escalated,Liam O'Connor
INC-0168,2024-02-23,Insider Threat,Medium,IT,Middle East,3,4565.57,Escalated,Liam O'Connor
INC-0169,2025-04-05,DDoS,Critical,R&D,North America,29,159933.68,Closed - No Action,Priya Nair
INC-0170,2024-01-28,Man-in-the-Middle,Medium,Legal,Europe,4,2734.45,Resolved,Pratik Chandra
INC-0171,2024-11-22,Insider Threat,Critical,HR,Europe,31,410262.62,Resolved,Arjun Mehta
INC-0172,2025-12-23,Social Engineering,Medium,Finance,North America,3,3940.89,Resolved,Tom Becker
INC-0173,2024-04-23,Malware,High,Operations,North America,40,46227.44,Resolved,Wei Zhang
INC-0174,2024-03-05,Zero-Day Exploit,Low,Finance,Middle East,5,846.69,In Progress,Tom Becker
INC-0175,2024-01-02,Malware,Medium,R&D,Europe,6,2770.53,In Progress,Neha Verma
INC-0176,2025-06-22,Credential Stuffing,Medium,Finance,Latin America,7,2391.81,Escalated,Priya Nair
INC-0177,2024-09-16,Insider Threat,High,IT,Asia Pacific,7,63311.52,Resolved,Priya Nair
INC-0178,2024-05-16,Credential Stuffing,Low,Legal,Europe,8,816.21,Escalated,Arjun Mehta
INC-0179,2024-05-18,Zero-Day Exploit,Low,Finance,Asia Pacific,1,912.0,Resolved,Priya Nair
INC-0180,2024-11-13,Credential Stuffing,Medium,Customer Support,Asia Pacific,5,7822.1,Resolved,Priya Nair
INC-0181,2024-02-18,Insider Threat,High,Operations,North America,26,47460.5,Escalated,Wei Zhang
INC-0182,2025-01-30,DDoS,Low,Customer Support,Latin America,5,917.56,Resolved,Neha Verma
INC-0183,2025-03-10,Social Engineering,Low,HR,Middle East,6,292.34,Resolved,Liam O'Connor
INC-0184,2024-11-09,Man-in-the-Middle,Medium,HR,Latin America,6,2381.2,Resolved,Tom Becker
INC-0185,2024-10-08,Phishing,Medium,IT,Latin America,3,9209.86,Resolved,Pratik Chandra
INC-0186,2024-05-26,Zero-Day Exploit,High,Finance,Europe,24,72053.11,Resolved,Priya Nair
INC-0187,2025-01-27,Phishing,Critical,HR,Latin America,5,213924.82,Closed - No Action,Arjun Mehta
INC-0188,2025-06-26,Insider Threat,Medium,Operations,Europe,3,2233.22,Closed - No Action,Wei Zhang
INC-0189,2025-06-14,Credential Stuffing,Medium,IT,Asia Pacific,4,8336.34,Escalated,Liam O'Connor
INC-0190,2025-12-11,Zero-Day Exploit,Critical,Sales,North America,12,106658.73,Resolved,Wei Zhang
INC-0191,2024-03-30,Insider Threat,High,Legal,North America,20,36906.08,Resolved,Arjun Mehta
INC-0192,2025-12-29,DDoS,High,Legal,Middle East,9,86929.54,Resolved,Sara Fernandez
INC-0193,2025-05-20,Credential Stuffing,Low,Legal,Latin America,10,696.48,Escalated,Neha Verma
INC-0194,2024-03-08,Zero-Day Exploit,Low,R&D,Latin America,6,266.38,Escalated,Neha Verma
INC-0195,2025-04-05,Credential Stuffing,Medium,Legal,Europe,10,9022.37,Escalated,Arjun Mehta
INC-0196,2024-05-12,Phishing,Medium,IT,Middle East,6,3481.91,Resolved,Sara Fernandez
INC-0197,2024-12-20,Credential Stuffing,Critical,Operations,North America,36,308620.55,Resolved,Liam O'Connor
INC-0198,2024-05-08,Social Engineering,Medium,IT,Middle East,10,7326.28,In Progress,Arjun Mehta
INC-0199,2024-06-24,Social Engineering,High,Legal,Middle East,6,78192.25,Resolved,Pratik Chandra
INC-0200,2025-10-18,SQL Injection,High,Sales,Middle East,32,62007.37,Resolved,Liam O'Connor
INC-0201,2025-10-19,Zero-Day Exploit,Critical,Sales,Latin America,4,106270.29,Resolved,Arjun Mehta
INC-0202,2025-03-26,Zero-Day Exploit,Medium,Sales,Asia Pacific,6,4813.24,In Progress,Priya Nair
INC-0203,2025-02-12,Insider Threat,Low,IT,Asia Pacific,8,310.27,Resolved,Sara Fernandez
INC-0204,2024-05-24,SQL Injection,Low,R&D,Middle East,3,1066.42,Resolved,Priya Nair
INC-0205,2025-08-14,Malware,High,HR,Latin America,20,49610.69,Closed - No Action,Wei Zhang
INC-0206,2024-01-24,Man-in-the-Middle,Low,Customer Support,Europe,1,517.61,Resolved,Liam O'Connor
INC-0207,2025-05-21,Zero-Day Exploit,Medium,Operations,Middle East,3,2967.47,Resolved,Liam O'Connor
INC-0208,2025-01-09,Insider Threat,High,Finance,Latin America,24,56450.81,Resolved,Liam O'Connor
INC-0209,2024-03-16,Zero-Day Exploit,Medium,Operations,Middle East,2,3069.3,In Progress,Tom Becker
INC-0210,2025-01-17,Insider Threat,High,Legal,Europe,33,52656.82,Resolved,Pratik Chandra
INC-0211,2024-02-16,Insider Threat,Low,Customer Support,Middle East,9,745.63,Resolved,Arjun Mehta
INC-0212,2024-12-01,Insider Threat,Critical,HR,Latin America,20,346154.97,Closed - No Action,Priya Nair
INC-0213,2025-06-03,Credential Stuffing,High,Customer Support,Middle East,24,74733.92,Resolved,Priya Nair
INC-0214,2025-11-20,Man-in-the-Middle,Low,Operations,North America,10,438.98,In Progress,Sara Fernandez
INC-0215,2024-02-22,DDoS,Medium,R&D,Europe,10,4179.77,Escalated,Neha Verma
INC-0216,2024-07-14,Insider Threat,Low,R&D,Europe,9,383.5,Resolved,Wei Zhang
INC-0217,2024-03-04,Credential Stuffing,High,Sales,Middle East,34,63680.33,Resolved,Tom Becker
INC-0218,2024-11-17,Zero-Day Exploit,Critical,Legal,Middle East,44,357916.32,Resolved,Liam O'Connor
INC-0219,2025-09-16,Malware,Medium,Operations,Middle East,5,10473.37,Resolved,Liam O'Connor
INC-0220,2025-12-22,Zero-Day Exploit,Low,Legal,Latin America,5,1040.33,Resolved,Liam O'Connor
INC-0221,2024-05-04,Credential Stuffing,Medium,R&D,Latin America,3,10591.48,Escalated,Liam O'Connor
INC-0222,2024-02-13,Ransomware,Low,Legal,Latin America,4,872.6,In Progress,Sara Fernandez
INC-0223,2025-07-05,Credential Stuffing,Low,Operations,Europe,4,866.8,Resolved,Sara Fernandez
INC-0224,2024-02-21,Credential Stuffing,High,Sales,Europe,31,45757.7,Resolved,Neha Verma
INC-0225,2025-11-28,Phishing,High,HR,Latin America,31,79406.62,In Progress,Wei Zhang
INC-0226,2025-10-28,SQL Injection,Low,Legal,Asia Pacific,2,1017.14,In Progress,Sara Fernandez
INC-0227,2025-07-01,Phishing,High,HR,Latin America,3,28656.79,Escalated,Tom Becker
INC-0228,2025-05-22,SQL Injection,Low,Finance,North America,6,742.5,Resolved,Liam O'Connor
INC-0229,2025-04-10,Credential Stuffing,Critical,Customer Support,Europe,13,248487.48,Escalated,Neha Verma
INC-0230,2024-12-04,Zero-Day Exploit,Low,Operations,Europe,5,503.4,Resolved,Sara Fernandez
INC-0231,2024-06-28,Man-in-the-Middle,Medium,R&D,Middle East,2,5607.5,Resolved,Arjun Mehta
INC-0232,2024-05-23,Malware,Medium,Finance,Asia Pacific,5,6020.62,Resolved,Priya Nair
INC-0233,2024-11-05,Social Engineering,Medium,Finance,Asia Pacific,1,8234.92,In Progress,Neha Verma
INC-0234,2025-04-21,Man-in-the-Middle,Low,Operations,North America,6,1046.57,In Progress,Sara Fernandez
INC-0235,2024-08-12,Zero-Day Exploit,Critical,HR,Latin America,27,298066.02,In Progress,Wei Zhang
INC-0236,2025-07-04,Malware,High,Sales,Middle East,29,21894.66,Escalated,Priya Nair
INC-0237,2024-03-20,Ransomware,Critical,Finance,Middle East,35,152776.44,Closed - No Action,Arjun Mehta
INC-0238,2024-06-17,Credential Stuffing,Low,Customer Support,North America,8,845.23,In Progress,Neha Verma
INC-0239,2025-06-06,Phishing,Medium,Customer Support,Europe,1,6111.19,Resolved,Wei Zhang
INC-0240,2025-11-19,Phishing,High,R&D,Asia Pacific,38,69697.92,Escalated,Neha Verma
INC-0241,2024-02-16,Ransomware,Medium,Finance,North America,5,6248.64,Closed - No Action,Tom Becker
INC-0242,2024-07-03,Man-in-the-Middle,High,Legal,Latin America,25,82032.29,Resolved,Tom Becker
INC-0243,2024-03-23,Credential Stuffing,High,HR,Asia Pacific,26,87484.97,Resolved,Arjun Mehta
INC-0244,2024-08-16,Phishing,High,Operations,Latin America,35,55200.06,In Progress,Tom Becker
INC-0245,2024-08-23,Insider Threat,Low,HR,Asia Pacific,2,987.69,Resolved,Pratik Chandra
INC-0246,2025-11-07,Phishing,Medium,Sales,Europe,8,7345.5,Resolved,Pratik Chandra
INC-0247,2024-09-07,Man-in-the-Middle,High,Customer Support,Europe,4,70315.77,Resolved,Arjun Mehta
INC-0248,2025-05-30,Malware,Critical,Legal,Middle East,21,322111.48,In Progress,Sara Fernandez
INC-0249,2024-11-05,Credential Stuffing,Critical,Sales,Latin America,38,101944.75,Resolved,Arjun Mehta
INC-0250,2025-10-03,Credential Stuffing,High,Customer Support,North America,43,83794.22,Closed - No Action,Tom Becker
INC-0251,2025-06-21,Man-in-the-Middle,Low,R&D,Europe,9,365.49,Resolved,Wei Zhang
INC-0252,2024-09-03,SQL Injection,High,HR,Latin America,27,56491.79,Closed - No Action,Arjun Mehta
INC-0253,2025-02-01,Malware,Low,Legal,North America,2,962.42,Closed - No Action,Sara Fernandez
INC-0254,2024-02-22,Social Engineering,Low,Finance,North America,9,885.53,Resolved,Sara Fernandez
INC-0255,2025-05-05,Insider Threat,Low,Operations,North America,2,371.02,Resolved,Wei Zhang
INC-0256,2024-09-05,Malware,High,R&D,Europe,25,71837.0,In Progress,Wei Zhang
INC-0257,2025-06-30,SQL Injection,Medium,Operations,Asia Pacific,2,6475.5,Resolved,Wei Zhang
INC-0258,2024-11-23,Insider Threat,Critical,Legal,Latin America,10,391070.54,Resolved,Pratik Chandra
INC-0259,2024-09-24,Social Engineering,Medium,R&D,Asia Pacific,7,4968.79,Resolved,Sara Fernandez
INC-0260,2025-05-26,Insider Threat,Medium,Operations,Latin America,8,7775.25,Closed - No Action,Wei Zhang
INC-0261,2024-06-21,Insider Threat,High,HR,Europe,35,51158.78,In Progress,Pratik Chandra
INC-0262,2025-06-20,Ransomware,Low,Finance,North America,4,958.29,Resolved,Neha Verma
INC-0263,2025-12-25,Malware,Low,Customer Support,Asia Pacific,10,773.96,Resolved,Wei Zhang
